case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
C021,"Two servers in the data center both respond to ARP requests for the same IP, causing intermittent connectivity.",Server-A and Server-B were both configured with 10.10.10.5 during a migration.,"Core-SW# show ip arp
Internet 10.10.10.5  -  0011.2233.4455 ARPA Vlan200
Internet 10.10.10.5  -  0011.2233.9999 ARPA Vlan200 (flapping)",Duplicate IP address between Server-A and Server-B,Layer 3,IP Addressing,High
C022,Newly added subnet 172.16.5.0/24 cannot reach the rest of the network despite the router interface being up.,"R13 interface Gi0/2 is up/up on the new subnet, but no routing protocol advertises it.","R13# show ip protocols
Routing Protocol is 'ospf 1'
Routing for Networks: 172.16.0.0/16 not listed
R13# show run interface Gi0/2
ip address 172.16.5.1 255.255.255.0",Missing route/network statement - subnet 172.16.5.0/24 not included in OSPF network statements,Layer 3,Routing,Medium
C023,"Users report that pings to the gateway work, but web browsing is very slow and times out often.",R14 has an access-list applied that unintentionally blocks TCP port 80/443 for a subnet.,"R14# show access-lists WEB-FILTER
10 deny tcp any any eq 80
20 deny tcp any any eq 443
30 permit ip any any",ACL blocking HTTP/HTTPS traffic (ports 80 and 443) for the subnet,Layer 4,ACL,Medium
C024,"PC-I is configured with a subnet mask of 255.255.255.192 while the rest of VLAN 110 uses 255.255.255.0, causing it to be unable to reach some local peers.",VLAN 110 subnet is 192.168.110.0/24; PC-I mistakenly got a /26 mask during manual setup.,"PC-I: IP 192.168.110.70 Mask 255.255.255.192
Other hosts: 192.168.110.0/24",Wrong subnet mask on PC-I (/26 instead of /24),Layer 3,Subnetting,Low
C025,"Guest wireless users can connect but see no internet access, while corporate wireless works fine.",Guest VLAN 120 is mapped on the WLC but the uplink trunk to the core switch does not carry VLAN 120.,"Core-SW# show interfaces trunk
Port  Vlans allowed on trunk
Gi1/0/1  1,10,80,90,100,110",Missing VLAN - Guest VLAN 120 not allowed on the trunk to the WLC uplink,Layer 2,VLAN,Medium
C026,"PC-J cannot reach the DHCP server and manually configuring an IP works fine, but auto-config fails.","PC-J is on VLAN 130, DHCP server is local (same subnet) so no relay is needed.","SW11# show interfaces Fa0/25 status
Fa0/25  disabled  130  auto  auto
Port administratively shut down","Interface Fa0/25 administratively down, blocking DHCP broadcast to reach the server",Layer 1,Interface Status,Medium
C027,Remote branch cannot resolve internal hostnames although external DNS resolution works fine.,Branch router R15 forwards DNS to public DNS only; internal DNS server 10.1.1.53 is not configured.,"R15# show run | include name-server
ip name-server 8.8.8.8
(internal DNS 10.1.1.53 missing)","Internal DNS server not configured/forwarded, only public DNS is set",Layer 7,DNS,Low
C028,Internet access works for most internal hosts but fails specifically for the 192.168.70.0/24 subnet.,R16 performs NAT overload; the NAT ACL only matches some internal subnets.,"R16# show run | include access-list 1
access-list 1 permit 192.168.10.0 0.0.0.255
access-list 1 permit 192.168.20.0 0.0.0.255
(192.168.70.0/24 not included)","NAT ACL missing the 192.168.70.0/24 subnet, so it is not translated",Layer 3,NAT,Medium
C029,A newly deployed router at the branch cannot reach headquarters even though the WAN link shows up/up.,Branch router R17 static default route points to an incorrect next-hop IP typo'd during configuration.,"R17# show ip route
S*  0.0.0.0/0 [1/0] via 203.0.113.99
Actual ISP next hop should be 203.0.113.9",Gateway mismatch - static default route next-hop IP is mistyped (203.0.113.99 vs correct 203.0.113.9),Layer 3,Default Gateway,High
C030,Video calls over Wi-Fi frequently freeze and drop for users near the edge of the building.,AP3 covering the far end of the building is set to very low transmit power relative to its coverage area.,"AP3: Tx Power Level 8 (lowest)
Client RSSI values reported around -82 dBm (poor)","AP3 transmit power set too low for required coverage, causing weak signal and drops",Layer 1,Wireless,Medium
